"BehaviorSpace results (NetLogo 7.0.3)","Table version 2.0"
"Wolf_Sheep_Predation_simpler.nlogox"
"experiment"
"01/20/2026 20:37:47:932 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","initial-number-sheep","initial-number-wolves","wolf-reproduce","sheep-reproduce","grass-regrowth-time","[step]","grass_remaining"
"3","50","50","4","4","40","0","7.6893502499038835"
"2","50","50","4","4","40","0","7.6893502499038835"
"7","50","50","4","4","40","0","7.6893502499038835"
"4","50","50","4","4","40","0","7.6893502499038835"
"2","50","50","4","4","40","1","100.11534025374856"
"3","50","50","4","4","40","1","100.26912725874664"
"2","50","50","4","4","40","2","101.34563629373318"
"5","50","50","4","4","40","0","7.6893502499038835"
"6","50","50","4","4","40","0","7.6893502499038835"
"7","50","50","4","4","40","1","100.26912725874664"
"4","50","50","4","4","40","1","100.65359477124183"
"3","50","50","4","4","40","2","101.03806228373702"
"2","50","50","4","4","40","3","101.96078431372548"
"7","50","50","4","4","40","2","100.73048827374087"
"4","50","50","4","4","40","2","101.80699730872742"
"5","50","50","4","4","40","1","101.65321030372934"
"3","50","50","4","4","40","3","101.80699730872742"
"7","50","50","4","4","40","3","101.49942329873126"
"2","50","50","4","4","40","4","102.72971933871588"
"6","50","50","4","4","40","1","100.73048827374087"
"5","50","50","4","4","40","2","103.72933487120338"
"4","50","50","4","4","40","3","103.1910803537101"
"3","50","50","4","4","40","4","103.03729334871204"
"7","50","50","4","4","40","4","102.72971933871588"
"6","50","50","4","4","40","2","100.80738177623991"
"4","50","50","4","4","40","4","104.72895040369089"
"5","50","50","4","4","40","3","105.7285659361784"
"2","50","50","4","4","40","5","102.72971933871588"
"3","50","50","4","4","40","5","105.26720492118416"
"6","50","50","4","4","40","3","101.49942329873126"
"7","50","50","4","4","40","5","103.88312187620146"
"4","50","50","4","4","40","5","105.57477893118032"
"5","50","50","4","4","40","4","107.34332948865821"
"6","50","50","4","4","40","4","103.49865436370627"
"3","50","50","4","4","40","6","106.3437139561707"
"2","50","50","4","4","40","6","105.03652441368705"
"7","50","50","4","4","40","6","106.03613994617454"
"4","50","50","4","4","40","6","108.34294502114571"
"5","50","50","4","4","40","5","109.57324106113033"
"3","50","50","4","4","40","7","107.88158400615148"
"6","50","50","4","4","40","5","104.80584390618992"
"2","50","50","4","4","40","7","106.7281814686659"
"7","50","50","4","4","40","7","107.65090349865436"
"5","50","50","4","4","40","6","111.03421760861207"
"4","50","50","4","4","40","7","108.80430603613995"
"3","50","50","4","4","40","8","109.18877354863514"
"1","50","50","4","4","40","0","7.6893502499038835"
"2","50","50","4","4","40","8","108.03537101114956"
"3","50","50","4","4","40","9","110.72664359861592"
"4","50","50","4","4","40","8","110.57285659361784"
"5","50","50","4","4","40","7","112.80276816608996"
"7","50","50","4","4","40","8","108.49673202614379"
"6","50","50","4","4","40","6","106.57439446366782"
"5","50","50","4","4","40","8","114.95578623606305"
"4","50","50","4","4","40","9","112.64898116109188"
"7","50","50","4","4","40","9","109.88081507112649"
"2","50","50","4","4","40","9","109.65013456362938"
"3","50","50","4","4","40","10","113.03344867358709"
"6","50","50","4","4","40","7","108.41983852364476"
"5","50","50","4","4","40","9","116.57054978854286"
"7","50","50","4","4","40","10","111.95693963860055"
"4","50","50","4","4","40","10","114.95578623606305"
"6","50","50","4","4","40","8","110.34217608612072"
"5","50","50","4","4","40","10","118.26220684352172"
"2","50","50","4","4","40","10","111.11111111111111"
"3","50","50","4","4","40","11","114.41753171856978"
"4","50","50","4","4","40","11","116.64744329104191"
"7","50","50","4","4","40","11","113.2641291810842"
"2","50","50","4","4","40","11","112.34140715109574"
"5","50","50","4","4","40","11","120.33833141099576"
"6","50","50","4","4","40","9","111.41868512110727"
"4","50","50","4","4","40","12","118.33910034602076"
"3","50","50","4","4","40","12","116.18608227604767"
"5","50","50","4","4","40","12","121.49173394848135"
"6","50","50","4","4","40","10","112.72587466359093"
"2","50","50","4","4","40","12","113.03344867358709"
"7","50","50","4","4","40","12","114.87889273356402"
"4","50","50","4","4","40","13","119.49250288350635"
"6","50","50","4","4","40","11","115.0326797385621"
"5","50","50","4","4","40","13","123.26028450595925"
"7","50","50","4","4","40","13","117.18569780853518"
"2","50","50","4","4","40","13","114.41753171856978"
"5","50","50","4","4","40","14","125.25951557093425"
"6","50","50","4","4","40","12","116.18608227604767"
"3","50","50","4","4","40","13","118.87735486351403"
"7","50","50","4","4","40","14","118.4159938485198"
"4","50","50","4","4","40","14","120.95347943098808"
"5","50","50","4","4","40","15","127.56632064590542"
"2","50","50","4","4","40","14","116.64744329104191"
"3","50","50","4","4","40","14","120.64590542099192"
"6","50","50","4","4","40","13","118.33910034602076"
"7","50","50","4","4","40","15","120.26143790849673"
"3","50","50","4","4","40","15","122.10688196847366"
"5","50","50","4","4","40","16","129.02729719338717"
"4","50","50","4","4","40","15","122.87581699346406"
"6","50","50","4","4","40","14","119.4156093810073"
"7","50","50","4","4","40","16","121.10726643598616"
"2","50","50","4","4","40","15","117.95463283352557"
"5","50","50","4","4","40","17","130.4882737408689"
"3","50","50","4","4","40","16","123.79853902345252"
"6","50","50","4","4","40","15","120.95347943098808"
"2","50","50","4","4","40","16","118.72356785851595"
"7","50","50","4","4","40","17","121.79930795847751"
"4","50","50","4","4","40","16","124.5674740484429"
"5","50","50","4","4","40","18","132.64129181084198"
"3","50","50","4","4","40","17","126.18223760092272"
"6","50","50","4","4","40","16","121.56862745098039"
"4","50","50","4","4","40","17","127.18185313341023"
"7","50","50","4","4","40","18","123.56785851595541"
"2","50","50","4","4","40","17","120.72279892349097"
"5","50","50","4","4","40","19","134.4867358708189"
"4","50","50","4","4","40","18","128.18146866589774"
"7","50","50","4","4","40","19","125.49019607843137"
"6","50","50","4","4","40","17","123.10649750096117"
"3","50","50","4","4","40","18","128.1045751633987"
"1","50","50","4","4","40","1","101.26874279123415"
"7","50","50","4","4","40","20","127.10495963091118"
"5","50","50","4","4","40","20","135.8708189158016"
"3","50","50","4","4","40","19","129.95001922337562"
"6","50","50","4","4","40","18","124.87504805843906"
"2","50","50","4","4","40","18","121.64552095347943"
"4","50","50","4","4","40","19","129.95001922337562"
"5","50","50","4","4","40","21","137.94694348327567"
"7","50","50","4","4","40","21","129.41176470588235"
"3","50","50","4","4","40","20","131.33410226835832"
"2","50","50","4","4","40","19","123.10649750096117"
"6","50","50","4","4","40","19","127.10495963091118"
"4","50","50","4","4","40","20","131.33410226835832"
"5","50","50","4","4","40","22","139.10034602076124"
"7","50","50","4","4","40","22","131.18031526336026"
"3","50","50","4","4","40","21","133.33333333333334"
"2","50","50","4","4","40","20","124.33679354094579"
"6","50","50","4","4","40","20","129.41176470588235"
"3","50","50","4","4","40","22","135.94771241830065"
"5","50","50","4","4","40","23","141.7916186082276"
"4","50","50","4","4","40","21","132.94886582083814"
"7","50","50","4","4","40","23","132.94886582083814"
"6","50","50","4","4","40","21","130.718954248366"
"3","50","50","4","4","40","23","137.2549019607843"
"4","50","50","4","4","40","22","133.94848135332563"
"7","50","50","4","4","40","24","134.4098423683199"
"5","50","50","4","4","40","24","143.79084967320262"
"2","50","50","4","4","40","21","124.79815455594002"
"6","50","50","4","4","40","22","133.17954632833525"
"3","50","50","4","4","40","24","138.71587850826606"
"4","50","50","4","4","40","23","135.40945790080738"
"5","50","50","4","4","40","25","145.86697424067665"
"2","50","50","4","4","40","22","125.87466359092657"
"7","50","50","4","4","40","25","135.25567089580932"
"3","50","50","4","4","40","25","140.25374855824683"
"4","50","50","4","4","40","24","136.33217993079586"
"7","50","50","4","4","40","26","136.33217993079586"
"2","50","50","4","4","40","23","126.79738562091504"
"6","50","50","4","4","40","23","134.02537485582468"
"5","50","50","4","4","40","26","147.86620530565168"
"4","50","50","4","4","40","25","137.33179546328336"
"7","50","50","4","4","40","27","138.638985005767"
"2","50","50","4","4","40","24","128.1045751633987"
"6","50","50","4","4","40","24","136.10149942329872"
"3","50","50","4","4","40","26","141.25336409073432"
"5","50","50","4","4","40","27","149.55786236063054"
"6","50","50","4","4","40","25","137.48558246828142"
"2","50","50","4","4","40","25","129.95001922337562"
"4","50","50","4","4","40","26","139.17723952326028"
"6","50","50","4","4","40","26","138.94655901576317"
"5","50","50","4","4","40","28","150.7112648981161"
"7","50","50","4","4","40","28","139.10034602076124"
"3","50","50","4","4","40","27","142.25297962322185"
"2","50","50","4","4","40","26","131.79546328335255"
"5","50","50","4","4","40","29","152.55670895809305"
"4","50","50","4","4","40","27","140.09996155324876"
"7","50","50","4","4","40","29","139.33102652825835"
"6","50","50","4","4","40","27","140.9457900807382"
"3","50","50","4","4","40","28","144.7904652056901"
"1","50","50","4","4","40","2","102.11457131872356"
"2","50","50","4","4","40","27","133.79469434832757"
"5","50","50","4","4","40","30","155.17108804306037"
"3","50","50","4","4","40","29","146.86658977316418"
"4","50","50","4","4","40","28","143.1757016532103"
"7","50","50","4","4","40","30","140.33064206074587"
"2","50","50","4","4","40","28","134.56362937331795"
"6","50","50","4","4","40","28","142.02229911572473"
"3","50","50","4","4","40","30","147.40484429065745"
"5","50","50","4","4","40","31","155.47866205305652"
"2","50","50","4","4","40","29","135.56324490580545"
"4","50","50","4","4","40","29","144.63667820069205"
"7","50","50","4","4","40","31","142.48366013071896"
"2","50","50","4","4","40","30","137.17800845828526"
"3","50","50","4","4","40","31","148.40445982314495"
"6","50","50","4","4","40","29","143.4063821607074"
"5","50","50","4","4","40","32","156.86274509803923"
"4","50","50","4","4","40","30","145.86697424067665"
"5","50","50","4","4","40","33","158.47750865051904"
"6","50","50","4","4","40","30","144.9442522106882"
"4","50","50","4","4","40","31","146.9434832756632"
"2","50","50","4","4","40","31","138.2545174932718"
"7","50","50","4","4","40","32","143.3294886582084"
"3","50","50","4","4","40","32","149.7116493656286"
"7","50","50","4","4","40","33","144.25221068819684"
"5","50","50","4","4","40","34","160.0153787004998"
"6","50","50","4","4","40","31","146.02076124567475"
"4","50","50","4","4","40","32","148.17377931564783"
"2","50","50","4","4","40","32","139.17723952326028"
"3","50","50","4","4","40","33","150.63437139561708"
"7","50","50","4","4","40","34","145.5594002306805"
"6","50","50","4","4","40","32","148.481353325644"
"5","50","50","4","4","40","35","160.70742022299115"
"4","50","50","4","4","40","33","148.40445982314495"
"2","50","50","4","4","40","33","140.9457900807382"
"6","50","50","4","4","40","33","150.01922337562476"
"3","50","50","4","4","40","34","151.8646674356017"
"7","50","50","4","4","40","35","145.9438677431757"
"5","50","50","4","4","40","36","161.55324875048058"
"2","50","50","4","4","40","34","141.63783160322953"
"3","50","50","4","4","40","35","154.01768550557478"
"4","50","50","4","4","40","34","149.4809688581315"
"6","50","50","4","4","40","34","151.55709342560553"
"7","50","50","4","4","40","36","146.40522875816993"
"5","50","50","4","4","40","37","161.86082276047674"
"2","50","50","4","4","40","35","143.02191464821223"
"4","50","50","4","4","40","35","150.55747789311803"
"3","50","50","4","4","40","36","154.70972702806614"
"7","50","50","4","4","40","37","147.1741637831603"
"6","50","50","4","4","40","35","152.40292195309496"
"5","50","50","4","4","40","38","163.32179930795849"
"2","50","50","4","4","40","36","144.02153018069973"
"3","50","50","4","4","40","37","155.6324490580546"
"4","50","50","4","4","40","36","151.40330642060746"
"7","50","50","4","4","40","38","147.78931180315263"
"6","50","50","4","4","40","36","153.09496347558633"
"5","50","50","4","4","40","39","164.9365628604383"
"2","50","50","4","4","40","37","145.40561322568243"
"3","50","50","4","4","40","38","156.78585159554018"
"4","50","50","4","4","40","37","151.8646674356017"
"5","50","50","4","4","40","40","166.55132641291812"
"7","50","50","4","4","40","39","148.63514033064206"
"6","50","50","4","4","40","37","154.40215301806998"
"2","50","50","4","4","40","38","146.3283352556709"
"3","50","50","4","4","40","39","158.32372164552095"
"5","50","50","4","4","40","41","166.78200692041523"
"4","50","50","4","4","40","38","153.40253748558246"
"6","50","50","4","4","40","38","155.8631295655517"
"7","50","50","4","4","40","40","149.40407535563244"
"5","50","50","4","4","40","42","166.55132641291812"
"4","50","50","4","4","40","39","154.32525951557093"
"3","50","50","4","4","40","40","160.7843137254902"
"2","50","50","4","4","40","39","147.3279507881584"
"7","50","50","4","4","40","41","149.09650134563628"
"6","50","50","4","4","40","39","156.86274509803923"
"5","50","50","4","4","40","43","166.1668589004229"
"2","50","50","4","4","40","40","148.01999231064974"
"3","50","50","4","4","40","41","160.63052672049213"
"4","50","50","4","4","40","40","155.01730103806227"
"6","50","50","4","4","40","40","157.86236063052672"
"7","50","50","4","4","40","42","149.17339484813533"
"5","50","50","4","4","40","44","165.47481737793157"
"3","50","50","4","4","40","42","160.86120722798924"
"4","50","50","4","4","40","41","155.47866205305652"
"2","50","50","4","4","40","41","148.558246828143"
"6","50","50","4","4","40","41","158.55440215301806"
"7","50","50","4","4","40","43","148.78892733564012"
"5","50","50","4","4","40","45","164.9365628604383"
"3","50","50","4","4","40","43","161.47635524798156"
"4","50","50","4","4","40","42","155.01730103806227"
"2","50","50","4","4","40","42","148.3275663206459"
"5","50","50","4","4","40","46","163.70626682045366"
"6","50","50","4","4","40","42","159.7846981930027"
"7","50","50","4","4","40","44","148.481353325644"
"3","50","50","4","4","40","44","161.63014225297962"
"1","50","50","4","4","40","3","103.1910803537101"
"4","50","50","4","4","40","43","154.6328335255671"
"2","50","50","4","4","40","43","148.25067281814685"
"5","50","50","4","4","40","47","163.09111880046137"
"6","50","50","4","4","40","43","159.24644367550943"
"7","50","50","4","4","40","45","148.17377931564783"
"3","50","50","4","4","40","45","161.0149942329873"
"4","50","50","4","4","40","44","154.01768550557478"
"2","50","50","4","4","40","44","148.63514033064206"
"3","50","50","4","4","40","46","161.24567474048442"
"6","50","50","4","4","40","44","158.78508266051517"
"5","50","50","4","4","40","48","162.32218377547096"
"7","50","50","4","4","40","46","147.55863129565552"
"4","50","50","4","4","40","45","153.55632449058055"
"5","50","50","4","4","40","49","161.47635524798156"
"6","50","50","4","4","40","45","158.47750865051904"
"3","50","50","4","4","40","47","160.47673971549403"
"2","50","50","4","4","40","45","147.78931180315263"
"6","50","50","4","4","40","46","158.09304113802384"
"7","50","50","4","4","40","47","146.1745482506728"
"3","50","50","4","4","40","48","160.16916570549787"
"5","50","50","4","4","40","50","160.7843137254902"
"4","50","50","4","4","40","46","152.86428296808919"
"7","50","50","4","4","40","48","144.7135717031911"
"3","50","50","4","4","40","49","159.55401768550558"
"4","50","50","4","4","40","47","152.479815455594"
"6","50","50","4","4","40","47","157.17031910803536"
"2","50","50","4","4","40","46","147.1741637831603"
"5","50","50","4","4","40","51","160.16916570549787"
"3","50","50","4","4","40","50","158.86197616301422"
"7","50","50","4","4","40","49","143.86774317570166"
"3","50","50","4","4","40","51","157.70857362552863"
"2","50","50","4","4","40","47","146.71280276816609"
"7","50","50","4","4","40","50","142.4067666282199"
"4","50","50","4","4","40","48","151.55709342560553"
"6","50","50","4","4","40","48","156.70895809304113"
"5","50","50","4","4","40","52","159.7846981930027"
"3","50","50","4","4","40","52","157.17031910803536"
"2","50","50","4","4","40","48","146.02076124567475"
"6","50","50","4","4","40","49","156.0169165705498"
"4","50","50","4","4","40","49","150.8650519031142"
"7","50","50","4","4","40","51","141.25336409073432"
"5","50","50","4","4","40","53","159.24644367550943"
"6","50","50","4","4","40","50","155.32487504805843"
"5","50","50","4","4","40","54","158.78508266051517"
"2","50","50","4","4","40","49","145.17493271818532"
"1","50","50","4","4","40","4","103.9600153787005"
"7","50","50","4","4","40","52","139.5617070357555"
"6","50","50","4","4","40","51","154.70972702806614"
"4","50","50","4","4","40","50","149.25028835063438"
"3","50","50","4","4","40","53","156.55517108804307"
"5","50","50","4","4","40","55","158.16993464052288"
"2","50","50","4","4","40","50","144.7135717031911"
"4","50","50","4","4","40","51","147.78931180315263"
"7","50","50","4","4","40","53","138.71587850826606"
"6","50","50","4","4","40","52","154.09457900807382"
"5","50","50","4","4","40","56","157.86236063052672"
"3","50","50","4","4","40","54","155.2479815455594"
"2","50","50","4","4","40","51","143.94463667820068"
"4","50","50","4","4","40","52","146.71280276816609"
"7","50","50","4","4","40","54","137.87004998077663"
"6","50","50","4","4","40","53","152.94117647058823"
"4","50","50","4","4","40","53","145.48250672818148"
"7","50","50","4","4","40","55","136.87043444828913"
"3","50","50","4","4","40","55","154.2483660130719"
"2","50","50","4","4","40","52","143.4063821607074"
"5","50","50","4","4","40","57","157.17031910803536"
"6","50","50","4","4","40","54","152.17224144559785"
"4","50","50","4","4","40","54","144.7135717031911"
"7","50","50","4","4","40","56","136.33217993079586"
"2","50","50","4","4","40","53","142.560553633218"
"3","50","50","4","4","40","56","152.94117647058823"
"5","50","50","4","4","40","58","155.94002306805075"
"4","50","50","4","4","40","55","143.86774317570166"
"6","50","50","4","4","40","55","150.94194540561324"
"7","50","50","4","4","40","57","136.56286043829297"
"3","50","50","4","4","40","57","152.17224144559785"
"5","50","50","4","4","40","59","155.32487504805843"
"4","50","50","4","4","40","56","142.94502114571318"
"2","50","50","4","4","40","54","141.86851211072664"
"6","50","50","4","4","40","56","150.55747789311803"
"3","50","50","4","4","40","58","151.17262591311035"
"4","50","50","4","4","40","57","141.71472510572858"
"5","50","50","4","4","40","60","154.78662053056516"
"2","50","50","4","4","40","55","141.25336409073432"
"7","50","50","4","4","40","58","135.25567089580932"
"3","50","50","4","4","40","59","150.32679738562092"
"2","50","50","4","4","40","56","140.71510957324105"
"6","50","50","4","4","40","57","149.86543637062667"
"4","50","50","4","4","40","58","140.48442906574394"
"5","50","50","4","4","40","61","153.71011149557862"
"4","50","50","4","4","40","59","139.17723952326028"
"3","50","50","4","4","40","60","149.01960784313727"
"5","50","50","4","4","40","62","152.55670895809305"
"2","50","50","4","4","40","57","139.6386005382545"
"7","50","50","4","4","40","59","133.79469434832757"
"6","50","50","4","4","40","58","149.25028835063438"
"6","50","50","4","4","40","59","148.0968858131488"
"3","50","50","4","4","40","61","148.01999231064974"
"4","50","50","4","4","40","60","138.33141099577085"
"2","50","50","4","4","40","58","139.33102652825835"
"7","50","50","4","4","40","60","132.56439830834296"
"4","50","50","4","4","40","61","137.33179546328336"
"6","50","50","4","4","40","60","147.25105728565936"
"3","50","50","4","4","40","62","147.02037677816224"
"7","50","50","4","4","40","61","131.4878892733564"
"2","50","50","4","4","40","59","138.56209150326796"
