"BehaviorSpace results (NetLogo 6.2.2)"
"Segregation.nlogo"
"experiment"
"04/24/2025 22:31:15:177 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","density","%-similar-wanted","[step]","percent-unhappy"
"4","50","40","0","31.856378915202445"
"8","50","40","0","33.81024096385542"
"2","50","40","0","32.640492686682066"
"6","50","40","0","31.944444444444443"
"5","50","40","0","33.66111951588503"
"7","50","40","0","32.03732503888025"
"3","50","40","0","31.49847094801223"
"1","50","40","0","33.945686900958464"
"4","50","40","1","17.3414820473644"
"6","50","40","1","15.74074074074074"
"8","50","40","1","18.072289156626507"
"5","50","40","1","18.00302571860817"
"7","50","40","1","17.65163297045101"
"3","50","40","1","17.12538226299694"
"1","50","40","1","18.29073482428115"
"2","50","40","1","20.554272517321014"
"4","50","40","2","9.854851031321619"
"7","50","40","2","11.430793157076206"
"8","50","40","2","9.939759036144578"
"6","50","40","2","9.5679012345679"
"1","50","40","2","9.904153354632587"
"2","50","40","2","11.778290993071593"
"5","50","40","2","10.43872919818457"
"3","50","40","2","11.009174311926607"
"7","50","40","3","6.065318818040436"
"4","50","40","3","5.88235294117647"
"6","50","40","3","5.246913580246913"
"8","50","40","3","6.024096385542169"
"5","50","40","3","6.354009077155824"
"4","50","40","4","3.896103896103896"
"3","50","40","3","6.422018348623854"
"2","50","40","3","7.467282525019246"
"1","50","40","3","6.3099041533546325"
"6","50","40","4","3.7808641975308643"
"8","50","40","4","3.087349397590361"
"7","50","40","4","4.276827371695179"
"1","50","40","4","2.7955271565495208"
"2","50","40","4","4.618937644341801"
"6","50","40","5","2.2376543209876543"
"5","50","40","4","4.16036308623298"
"3","50","40","4","3.9755351681957185"
"4","50","40","5","2.2154316271963332"
"1","50","40","5","1.9169329073482428"
"2","50","40","5","3.0023094688221708"
"7","50","40","5","2.7993779160186625"
"8","50","40","5","2.183734939759036"
"4","50","40","6","1.757066462948816"
"6","50","40","6","1.7746913580246912"
"7","50","40","6","1.9440124416796267"
"8","50","40","6","1.2048192771084338"
"5","50","40","5","2.5718608169440245"
"3","50","40","5","2.8287461773700304"
"1","50","40","6","1.038338658146965"
"8","50","40","7","0.677710843373494"
"4","50","40","7","0.9167303284950344"
"6","50","40","7","0.9259259259259258"
"2","50","40","6","1.8475750577367205"
"1","50","40","7","0.5591054313099041"
"4","50","40","8","0.53475935828877"
"3","50","40","6","1.834862385321101"
"7","50","40","7","1.010886469673406"
"5","50","40","6","2.042360060514372"
"2","50","40","7","1.2317167051578137"
"6","50","40","8","0.6172839506172839"
"8","50","40","8","0.4518072289156626"
"4","50","40","9","0.53475935828877"
"5","50","40","7","1.13464447806354"
"3","50","40","7","1.3761467889908259"
"7","50","40","8","0.5443234836702955"
"2","50","40","8","0.4618937644341801"
"6","50","40","9","0.6172839506172839"
"1","50","40","8","0.5591054313099041"
"8","50","40","9","0.2259036144578313"
"4","50","40","10","0.15278838808250572"
"7","50","40","9","0.3110419906687403"
"2","50","40","9","0.3849114703618168"
"5","50","40","8","0.529500756429652"
"3","50","40","8","0.6116207951070336"
"6","50","40","10","0.38580246913580246"
"4","50","40","11","0.07639419404125286"
"8","50","40","10","0.15060240963855423"
"1","50","40","9","0.5591054313099041"
"2","50","40","10","0.15396458814472672"
